Num Day,Tanggal,Max Suhu Udara,Min Suhu Udara,Mean Suhu Udara,Radiasi Extrateresterial,ET Total
day 05,2024-10-26,33.07,25.59,29.33,15.79228319116646,5.4818877593602435
day 06,2024-10-27,34.18,25.99,30.085,15.79866133781571,5.779543931624881
day 07,2024-10-28,35.19,26.08,30.634999999999998,15.804506795652468,6.114070064066392
day 08,2024-10-29,34.46,26.55,30.505000000000003,15.809836433061825,5.740097733879168
day 09,2024-10-30,32.96,26.74,29.85,15.81466748940714,5.122609448711854
day 10,2024-10-31,30.95,25.83,28.39,15.81901754517555,4.602684429928445
day 12,2024-11-02,30.12,25.39,27.755000000000003,15.826346501025428,4.406410238117369
day 13,2024-11-03,31.18,26.12,28.65,15.829361994407888,4.6041026168901045
day 14,2024-11-04,31.52,26.01,28.765,15.831969612092555,4.780138550642004
day 15,2024-11-05,33.42,26.33,29.875,15.834188181820073,5.423144388027341
